COD_SPP_IFN3	Sp	Correspondencia	Observaciones	carbono	a	b	R2	SEE	SEE2	CF	ea	CFA	ar	br	R2r	SEEr	SEE2r	CFr	ear	CFAr
006	Myrtus communis	F-M	Media Fam. Myrtaceae	47.5	-1.33002	2.19404	0.98	0.15785	0.012458311	1.012536239	0.264471972	0.267787456								
007	Acacia spp.	F (SPP)-M	Media Fam. Leguminosae (Ceratonia siliqua)	50	-1.51118	2.16178	0.858	0.318842	0.05083011	1.05214413	0.220649458	0.232155032	-1.03055	1.99274	0.861	0.267455	0.035766089	1.036413389	0.356810661	0.369803346
008	Phillyrea latifolia	F-M	Media Fam. Oleaceae	48.9	-1.2076845	2.079945	0.945	0.240108	0.028831497	1.029251478	0.309362903	0.31847807	-1.67999	2.04952	0.917	0.326995	0.053564012	1.055035934	0.228153687	0.240064614
017	Cedrus atlantica	F-M	Media Fam. Pinaceae	50.48	-2.470387	2.426308	0.9735	0.1917383	0.019494998	1.019731361	0.090856825	0.092789209	-3.920137778	2.45698	0.955777778	0.286413556	0.045164142	1.046690514	0.02343718	0.024612192
018	Chamaecyparis lawsoniana	F-M	Media Fam. Cupressaceae	49.375	-0.26184875	1.577455	0.907	0.209494	0.029192208	1.029834272	1.034496011	1.077230351	-1.8359	2.1866225	0.8715	0.36536	0.067948219	1.070478402	0.180735131	0.19220974
019	Otras coníferas	G-M		50	-2.21637	2.35162	0.998	0.073801	0.002723294	1.002727005	0.109004076	0.109301331	-2.46359	2.13727	0.982	0.22994	0.026436202	1.026788738	0.085128789	0.087409282
021	Pinus sylvestris	SPP-M		50.9	-2.50275	2.41194	0.951	0.246887	0.030476595	1.030945761	0.081859575	0.084392782	-4.56044	2.62841	0.97	0.283615	0.040218734	1.04103846	0.010457457	0.010886615
022	Pinus uncinata	SPP-M		50.9	-1.86138	2.31611	0.954	0.25165	0.031663861	1.032170494	0.15545795	0.160459109	-4.50582	2.7558	0.973	0.277497	0.038502293	1.039253111	0.01104453	0.011478062
023	Pinus pinea	SPP-M		50.8	-2.18117	2.42414	0.96	0.264856	0.03507435	1.03569671	0.112909349	0.116939842	-4.01758	2.47024	0.984	0.196073	0.019222311	1.019408249	0.017996464	0.018345744
024	Pinus halepensis	SPP-M		49.9	-2.0939	2.20988	0.982	0.151637	0.01149689	1.011563233	0.123205695	0.124630352	-3.68133	2.29823	0.882	0.49324	0.121642849	1.129350681	0.025189451	0.028447723
025	Pinus nigra	SPP-M		50.9	-2.7773	2.51564	0.992	0.134416	0.009033831	1.009074759	0.062206238	0.062770744	-3.76193	2.38784	0.984	0.179241	0.016063668	1.016193382	0.023238846	0.023615162
026	Pinus pinaster	SPP-M		51.1	-3.00347	2.49641	0.969	0.173491	0.015049564	1.015163378	0.049614607	0.050366932	-3.85184	2.37592	0.985	0.196073	0.019222311	1.019408249	0.021240618	0.021652861
027	Pinus canariensis	SPP-M		50	-3.04507	2.66892	0.989	0.141703	0.01003987	1.010090439	0.04759298	0.048073214	-4.61516	2.72887	0.96	0.298539	0.044562767	1.045570602	0.009900599	0.010351775
028	Pinus radiata	SPP-M		49.7	-2.61093	2.48739	0.977	0.19327	0.018676646	1.018852146	0.073466188	0.074851184	-2.78485	2.14449	0.939	0.309544	0.047908744	1.049074917	0.061738349	0.064768153
029	Otros pinos	G-M	Media Gen. Pinus	50.525	-2.50949625	2.44130375	0.97175	0.19473875	0.020188951	1.020444615	0.088289073	0.09031052	-3.97236875	2.473725	0.959625	0.27922775	0.04341796	1.044912206	0.022600789	0.023693262
031	Abies alba	SPP-M		50.6	-2.10064	2.41766	0.989	0.146074	0.010668807	1.010725921	0.122378081	0.123690699	-3.50229	2.32302	0.925	0.3439	0.059133605	1.060916975	0.030128311	0.031963636
032	Abies pinsapo	SPP-M		50	-2.52726	2.31499	0.972	0.213399	0.022769567	1.023030772	0.079877585	0.081717228								
033	Picea abies	F-M	Media Fam. Pinaceae	50.48	-2.470387	2.426308	0.9735	0.1917383	0.019494998	1.019731361	0.090856825	0.092789209	-3.920137778	2.45698	0.955777778	0.286413556	0.045164142	1.046690514	0.02343718	0.024612192
034	Pseudotsuga menziesii	F-M	Media Fam. Pinaceae	50.48	-2.470387	2.426308	0.9735	0.1917383	0.019494998	1.019731361	0.090856825	0.092789209	-3.920137778	2.45698	0.955777778	0.286413556	0.045164142	1.046690514	0.02343718	0.024612192
035	Larix spp.	F-M	Media Fam. Pinaceae	50.48	-2.470387	2.426308	0.9735	0.1917383	0.019494998	1.019731361	0.090856825	0.092789209	-3.920137778	2.45698	0.955777778	0.286413556	0.045164142	1.046690514	0.02343718	0.024612192
036	Cupressus sempervirens	F-M	Media Fam. Cupressaceae	49.375	-0.26184875	1.577455	0.907	0.209494	0.029192208	1.029834272	1.034496011	1.077230351	-1.8359	2.1866225	0.8715	0.36536	0.067948219	1.070478402	0.180735131	0.19220974
037	Juniperus communis	G-E		50	0.520337	1.29201	0.836	0.310536	0.048216304	1.049397619	1.682594589	1.765710755	-2.2799	2.70033	0.917	0.413116	0.085332415	1.089079032	0.102294436	0.111406725
038	Juniperus thurifera	SPP-M		47.5	-1.48238	2.03163	0.962	0.20105	0.020210551	1.020416167	0.227096555	0.231732996	-1.68253	1.73984	0.884	0.301612	0.045484899	1.046535201	0.185903046	0.194554081
039	Juniperus phoenicea	SPP-M		50	-0.605689	1.69417	0.994	0.015854	0.000125675	1.000125683	0.545698311	0.545766896	-1.10127	1.60599	0.768	0.333596	0.055643146	1.057220343	0.332448606	0.351471429
041	Quercus robur	SPP-M		48.4	-2.30619	2.50077	0.983	0.178402	0.015913637	1.016040933	0.099640158	0.101238479	-2.46349	2.15149	0.907	0.409521	0.083853725	1.087469812	0.085137303	0.092584247
042	Quercus petraea	SPP-E	Quercus robur	48.4	-2.30619	2.50077	0.983	0.178402	0.015913637	1.016040933	0.099640158	0.101238479	-2.46349	2.15149	0.907	0.409521	0.083853725	1.087469812	0.085137303	0.092584247
043	Quercus pyrenaica	SPP-M		47.5	-2.59695	2.53453	0.978	0.247318	0.030583097	1.031055564	0.074500458	0.076814112	-2.4543	2.13346	0.965	0.242145	0.029317101	1.029751077	0.085923321	0.088479632
044	Quercus faginea	SPP-M		50	-2.89305	2.52426	0.979	0.170157	0.014476702	1.014581997	0.055406963	0.056214908	-3.09335	2.34356	0.926	0.334727	0.056021082	1.057619981	0.045349778	0.047962831
045	Quercus ilex	SPP-M		47.5	-2.31596	2.47745	0.963	0.253774	0.032200622	1.032724671	0.098671414	0.101900404	-0.730281	1.7893	0.67	0.496779	0.123394687	1.131330855	0.481773593	0.54504533
