Code,Code3,Code2,Nombre,Nombre1,Tipo,Family,Arborea_matorral,Source,Reference,ISSG,DAISIE
012,12,012,Malus sylvestris,Malus sylvestris,D,Rosaceae,Arborea,Flora Europaea,Gard. Dict. ed. 8 no. 1 (1768),NR,A
013,13,013,Celtis australis,Celtis australis,D,Ulmaceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 1043 (1753),NR,DAISIE
014,14,014,Taxus baccata,Taxus baccata,C,Taxaceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 1040 (1753),NR,A
015,15,015,Crataegus spp.,Crataegus spp.,D,Rosaceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 475 (1753),NR,A
016,16,016,Pyrus spp.,Pyrus spp.,D,Rosaceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 479 (1753),NR,A
017,17,017,Cedrus atlantica,Cedrus atlantica,C,Pinaceae,Arborea,Flora Europaea,Traité Gén. Conif. ed. 1 285 (1855),NR,DAISIE
018,18,018,Chamaecyparis lawsoniana,Chamaecyparis lawsoniana,C,Cupressaceae,Arborea,Flora Europaea,Ann. Mus. Firenze nov. ser. 1: 181 (1866),NR,DAISIE
007,207,007,Acacia melanoxylon,Acacia melanoxylon,O,Leguminosae,Arborea,Flora Europaea,Hort. Kew. ed. 2 5: 462 (1813),E,DAISIE
021,21,021,Pinus sylvestris,Pinus sylvestris,C,Pinaceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 1000 (1753),NA,A
015,215,015,Crataegus monogyna,Crataegus monogyna,D,Rosaceae,Arborea,Flora Europaea,Fl. Austr. 3: 50 (1775),NR,A
022,22,022,Pinus uncinata,Pinus uncinata,C,Pinaceae,Arborea,Flora Europaea, Hist. Nat. Pl. 10: 213 (1806),NA,A
023,23,023,Pinus pinea,Pinus pinea,C,Pinaceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 1000 (1753),NA,A
035,235,035,Larix decidua,Larix decidua,D,Pinaceae,Arborea,Flora Europaea,Gard. Dict. ed. 8 no. 1 (1768),NR,DAISIE
236,236,036,Cupressus arizonica,Cupressus arizonica,C,Cupressaceae,Arborea,Flora Europaea,Bull. Torrey Bot. Club 9: 64 (1882),NR,DAISIE
237,237,037,Juniperus oxycedrus,Juniperus oxycedrus,C,Cupressaceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 1038 (1753),NR,A
024,24,024,Pinus halepensis,Pinus halepensis,C,Pinaceae,Arborea,Flora Europaea,Gard. Dict. ed. 8 no. 8 (1768),NA,A
243,243,043,Quercus pubescens (Q. Humilis),Quercus pubescens (Q. Humilis),D,Fagaceae,Arborea,Flora Europaea,Berlin. Baumz. ed. 1 279 (1796),NR,A
025,25,025,Pinus nigra,Pinus nigra,C,Pinaceae,Arborea,Flora Europaea,Reise Mariazell 8 (1785),NA,A
255,255,055,Fraxinus excelsior,Fraxinus excelsior,D,Oleaceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 1057 (1753),NR,A
256,256,056,Ulmus glabra,Ulmus glabra,D,Ulmaceae,Arborea,Flora Europaea,Fl. Angl. ed. 1 95 (1762),NR,A
057,257,057,Salix alba,Salix alba,D,Salicaceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 1021 (1753),NR,A
258,258, NA,Populus x canadensis,Populus x canadensis,D-Ex,Salicaceae,Arborea,Flora Europaea,Verz. Ausl. Bäume Weissenst. 81 (1785),NR,DAISIE
026,26,026,Pinus pinaster,Pinus pinaster,C,Pinaceae,Arborea,Flora Europaea,Hort. Kew. ed. 1 3: 367 (1789),NA,A
264,264,064,Eucalyptus viminalis,Eucalyptus viminalis,D,Myrtaceae,Arborea,Flora Europaea,Nov. Holl. Pl. 2: 12 (1806),NR,DAISIE
073,273,073,Betula alba,Betula alba,D,Betulaceae,Arborea,NA,NA,NR,A
276,276,076,Acer monspessulanum,Acer monspessulanum,D,Aceraceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 1056 (1753),NR,A
077,277,077,Tilia cordata,Tilia cordata,D,Tiliaceae,Arborea,Flora Europaea,Gard. Dict. ed. 8 no. 1 (1768),NR,A
078,278,078,Sorbus aria,Sorbus aria,D,Rosaceae,Arborea,Flora Europaea,Austr. ed. 1 2: 46 (1763),NR,A
028,28,028,Pinus radiata,Pinus radiata,C,Pinaceae,Arborea,Flora Europaea,Trans. Linn. Soc. London 17: 442 (1836),NA,DAISIE
