Suelos Forestales;Provincia;Parcela;pH;CE (dSm^-1);Factor humedad;FHR_final;CIC (Meq/100g);Presencia  Carbonatos (%);Ca Final (meq/100g);Ca Final (mg/kg);Mg Final (meq/100g);Mg Final (mg/kg);k Final Calibrados (meq/100g);k Final (mg/kg);Na Final Calibrados (meq/100g);Na Final (mg/kg);RAS;CTC (Meq/100g);CIC (Meq/100g);Mn (mg/kg suelo);Zn (mg/kg);Cu Final (mg/kg);Fe Final (mg/kg);P corregido fH;%C;%MO;%Arcilla;%Limo;%Arena;(N) %;(C) %
2;Cadiz;110085;7,57;0,1404;0,977;2,348;22,767;N;16,09;3218,08;1,95;237,45;0,35;137,30;1,16;266,17;0,39;19,55;22,77;49,13;1,28;1,31;14,08;4,57;1,96;3,37;13,62;7,25;79,13;0,181;2,865
5;Cadiz;110085;7,14;0,163;0,977;2,385;28,052;N;15,30;3060,56;2,07;251,18;0,30;116,51;1,19;272,48;0,40;18,85;28,05;44,92;1,45;1,31;27,68;15,90;2,20;3,79;9,47;9,74;80,79;0,182;2,876
9;Cadiz;110094;7,43;0,1394;0,904;10,630;46,219;50;73,39;14681,02;1,91;232,33;0,46;179,60;0,99;227,33;0,16;76,75;46,22;23,06;0,45;3,19;11,51;5,04;2,69;4,62;30,00;32,35;37,64;0,175;9,040
29;Cadiz;110094;7,47;0,1766;0,918;8,920;48,754;51;73,70;14743,71;2,24;271,58;0,47;185,35;1,26;289,87;0,20;77,67;48,75;34,49;0,53;4,18;13,77;6,62;2,58;4,45;33,24;32,46;34,30;0,226;9,217
11;Cadiz;110158;7,32;0,312;0,942;6,130;50,672;33,1;69,87;13977,78;3,99;485,37;0,56;218,63;1,23;282,45;0,20;75,65;50,67;42,40;4,37;4,92;19,70;30,73;5,32;9,16;29,09;33,11;37,80;0,406;11,534
34;Cadiz;110158;7,31;0,367;0,941;6,285;55,071;25,1;69,62;13927,45;3,56;432,23;0,47;182,46;1,40;321,53;0,23;75,04;55,07;44,74;3,89;5,27;19,22;14,08;5,51;9,47;32,73;31,02;36,25;0,415;10,003
3;Cadiz;110160;7,09;0,228;0,943;6,070;62,216;N;23,98;4797,72;2,93;355,69;0,95;373,18;1,59;365,92;0,43;29,46;62,22;96,36;0,90;3,39;31,23;4,61;3,53;6,06;43,02;29,72;27,26;0,276;4,724
4;Cadiz;110160;7,12;0,1849;0,945;5,852;57,549;N;24,99;4999,07;2,74;332,37;0,88;345,89;1,09;249,60;0,29;29,70;57,55;72,91;1,31;3,56;17,95;7,53;6,84;11,76;45,23;27,44;27,33;0,258;4,120
13;Cadiz;110397;7,29;0,365;0,923;8,290;70,113;24,5;70,93;14190,21;3,78;459,87;0,56;218,19;1,17;268,49;0,19;76,44;70,11;70,12;2,86;11,26;29,45;21,09;6,38;10,97;23,53;20,70;55,77;0,580;11,759
30;Cadiz;110397;7,29;0,352;0,921;8,594;71,973;54;74,20;14844,02;3,87;470,58;0,72;283,43;1,16;265,95;0,19;79,96;71,97;77,74;1,84;11,12;23,98;21,22;6,87;11,81;18,53;20,89;60,58;0,590;12,251
